ip,port,country,anonymity,type,speed,uptime,fetched_at
62.99.138.162,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
172.64.78.163,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
72.37.217.3,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
172.64.78.71,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
67.201.58.190,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.252.209.158,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
68.71.242.118,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
67.201.39.14,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
68.71.252.38,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
68.71.240.210,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
138.68.60.8,3128,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.252.214.17,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
189.202.188.149,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
199.58.184.97,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
57.129.81.201,1080,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
139.59.1.14,3128,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
209.97.150.167,8080,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.252.215.2,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
36.138.53.26,10017,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.111.129.145,16894,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.252.215.5,16137,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
139.162.78.109,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
128.199.202.122,3128,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.111.138.29,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
8.213.151.128,3128,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
64.110.82.7,8080,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
170.244.25.52,8888,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
170.244.26.36,8888,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
218.77.183.214,5224,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
50.122.86.118,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
47.57.13.107,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
4.195.16.140,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
